20000
1,outside,Room Description,
SOUTH,251,South Descripton
EAST,52,East Description
WEST,50,West Description
52,outside,Room Description,
NORTH,0,North Discription
SOUTH,252,South Descripton
EAST,53,East Description
WEST,51,West Description
53,outside,Room Description,
NORTH,0,North Discription
SOUTH,253,South Descripton
EAST,54,East Description
WEST,52,West Description
54,outside,Room Description,
NORTH,0,North Discription
SOUTH,254,South Descripton
EAST,55,East Description
WEST,53,West Description
55,outside,Room Description,
NORTH,0,North Discription
SOUTH,255,South Descripton
EAST,56,East Description
WEST,54,West Description
56,outside,Room Description,
NORTH,0,North Discription
SOUTH,256,South Descripton
EAST,57,East Description
WEST,55,West Description
57,outside,Room Description,
NORTH,0,North Discription
SOUTH,257,South Descripton
EAST,58,East Description
WEST,56,West Description
58,outside,Room Description,
NORTH,0,North Discription
SOUTH,258,South Descripton
EAST,59,East Description
WEST,57,West Description
59,outside,Room Description,
NORTH,0,North Discription
SOUTH,259,South Descripton
EAST,60,East Description
WEST,58,West Description
60,outside,Room Description,
NORTH,0,North Discription
SOUTH,260,South Descripton
EAST,61,East Description
WEST,59,West Description
61,outside,Room Description,
NORTH,0,North Discription
SOUTH,261,South Descripton
EAST,62,East Description
WEST,60,West Description
62,outside,Room Description,
NORTH,0,North Discription
SOUTH,262,South Descripton
EAST,63,East Description
WEST,61,West Description
63,outside,Room Description,
NORTH,0,North Discription
SOUTH,263,South Descripton
EAST,64,East Description
WEST,62,West Description
64,outside,Room Description,
NORTH,0,North Discription
SOUTH,264,South Descripton
EAST,65,East Description
WEST,63,West Description
65,outside,Room Description,
NORTH,0,North Discription
SOUTH,265,South Descripton
EAST,66,East Description
WEST,64,West Description
66,outside,Room Description,
NORTH,0,North Discription
SOUTH,266,South Descripton
EAST,67,East Description
WEST,65,West Description
67,outside,Room Description,
NORTH,0,North Discription
SOUTH,267,South Descripton
EAST,68,East Description
WEST,66,West Description
68,outside,Room Description,
NORTH,0,North Discription
SOUTH,268,South Descripton
EAST,69,East Description
WEST,67,West Description
69,outside,Room Description,
NORTH,0,North Discription
SOUTH,269,South Descripton
EAST,70,East Description
WEST,68,West Description
70,outside,Room Description,
NORTH,0,North Discription
SOUTH,270,South Descripton
EAST,71,East Description
WEST,69,West Description
71,outside,Room Description,
NORTH,0,North Discription
SOUTH,271,South Descripton
EAST,72,East Description
WEST,70,West Description
72,outside,Room Description,
NORTH,0,North Discription
SOUTH,272,South Descripton
EAST,73,East Description
WEST,71,West Description
73,outside,Room Description,
NORTH,0,North Discription
SOUTH,273,South Descripton
EAST,74,East Description
WEST,72,West Description
74,outside,Room Description,
NORTH,0,North Discription
SOUTH,274,South Descripton
EAST,75,East Description
WEST,73,West Description
75,outside,Room Description,
NORTH,0,North Discription
SOUTH,275,South Descripton
EAST,76,East Description
WEST,74,West Description
76,outside,Room Description,
NORTH,0,North Discription
SOUTH,276,South Descripton
EAST,77,East Description
WEST,75,West Description
77,outside,Room Description,
NORTH,0,North Discription
SOUTH,277,South Descripton
EAST,78,East Description
WEST,76,West Description
78,outside,Room Description,
NORTH,0,North Discription
SOUTH,278,South Descripton
EAST,79,East Description
WEST,77,West Description
79,outside,Room Description,
NORTH,0,North Discription
SOUTH,279,South Descripton
EAST,80,East Description
WEST,78,West Description
80,outside,Room Description,
NORTH,0,North Discription
SOUTH,280,South Descripton
EAST,81,East Description
WEST,79,West Description
81,outside,Room Description,
NORTH,0,North Discription
SOUTH,281,South Descripton
EAST,82,East Description
WEST,80,West Description
82,outside,Room Description,
NORTH,0,North Discription
SOUTH,282,South Descripton
EAST,83,East Description
WEST,81,West Description
83,outside,Room Description,
NORTH,0,North Discription
SOUTH,283,South Descripton
EAST,84,East Description
WEST,82,West Description
84,outside,Room Description,
NORTH,0,North Discription
SOUTH,284,South Descripton
EAST,85,East Description
WEST,83,West Description
85,outside,Room Description,
NORTH,0,North Discription
SOUTH,285,South Descripton
EAST,86,East Description
WEST,84,West Description
86,outside,Room Description,
NORTH,0,North Discription
SOUTH,286,South Descripton
EAST,87,East Description
WEST,85,West Description
87,outside,Room Description,
NORTH,0,North Discription
SOUTH,287,South Descripton
EAST,88,East Description
WEST,86,West Description
88,outside,Room Description,
NORTH,0,North Discription
SOUTH,288,South Descripton
EAST,89,East Description
WEST,87,West Description
89,outside,Room Description,
NORTH,0,North Discription
SOUTH,289,South Descripton
EAST,90,East Description
WEST,88,West Description
90,outside,Room Description,
NORTH,0,North Discription
SOUTH,290,South Descripton
EAST,91,East Description
WEST,89,West Description
91,outside,Room Description,
NORTH,0,North Discription
SOUTH,291,South Descripton
EAST,92,East Description
WEST,90,West Description
92,outside,Room Description,
NORTH,0,North Discription
SOUTH,292,South Descripton
EAST,93,East Description
WEST,91,West Description
93,outside,Room Description,
NORTH,0,North Discription
SOUTH,293,South Descripton
EAST,94,East Description
WEST,92,West Description
94,outside,Room Description,
NORTH,0,North Discription
SOUTH,294,South Descripton
EAST,95,East Description
WEST,93,West Description
95,outside,Room Description,
NORTH,0,North Discription
SOUTH,295,South Descripton
EAST,96,East Description
WEST,94,West Description
96,outside,Room Description,
NORTH,0,North Discription
SOUTH,296,South Descripton
EAST,97,East Description
WEST,95,West Description
97,outside,Room Description,
NORTH,0,North Discription
SOUTH,297,South Descripton
EAST,98,East Description
WEST,96,West Description
98,outside,Room Description,
NORTH,0,North Discription
SOUTH,298,South Descripton
EAST,99,East Description
WEST,97,West Description
99,outside,Room Description,
NORTH,0,North Discription
SOUTH,299,South Descripton
EAST,100,East Description
WEST,98,West Description
100,outside,Room Description,
NORTH,0,North Discription
SOUTH,300,South Descripton
EAST,101,East Description
WEST,99,West Description
101,outside,Room Description,
NORTH,0,North Discription
SOUTH,301,South Descripton
EAST,102,East Description
WEST,100,West Description
102,outside,Room Description,
NORTH,0,North Discription
SOUTH,302,South Descripton
EAST,103,East Description
WEST,101,West Description
103,outside,Room Description,
NORTH,0,North Discription
SOUTH,303,South Descripton
EAST,104,East Description
WEST,102,West Description
104,outside,Room Description,
NORTH,0,North Discription
SOUTH,304,South Descripton
EAST,105,East Description
WEST,103,West Description
105,outside,Room Description,
NORTH,0,North Discription
SOUTH,305,South Descripton
EAST,106,East Description
WEST,104,West Description
106,outside,Room Description,
NORTH,0,North Discription
SOUTH,306,South Descripton
EAST,107,East Description
WEST,105,West Description
107,outside,Room Description,
NORTH,0,North Discription
SOUTH,307,South Descripton
EAST,108,East Description
WEST,106,West Description
108,outside,Room Description,
NORTH,0,North Discription
SOUTH,308,South Descripton
EAST,109,East Description
WEST,107,West Description
109,outside,Room Description,
NORTH,0,North Discription
SOUTH,309,South Descripton
EAST,110,East Description
WEST,108,West Description
110,outside,Room Description,
NORTH,0,North Discription
SOUTH,310,South Descripton
EAST,111,East Description
WEST,109,West Description
111,outside,Room Description,
NORTH,0,North Discription
SOUTH,311,South Descripton
EAST,112,East Description
WEST,110,West Description
112,outside,Room Description,
NORTH,0,North Discription
SOUTH,312,South Descripton
EAST,113,East Description
WEST,111,West Description
113,outside,Room Description,
NORTH,0,North Discription
SOUTH,313,South Descripton
EAST,114,East Description
WEST,112,West Description
114,outside,Room Description,
NORTH,0,North Discription
SOUTH,314,South Descripton
EAST,115,East Description
WEST,113,West Description
115,outside,Room Description,
NORTH,0,North Discription
SOUTH,315,South Descripton
EAST,116,East Description
WEST,114,West Description
116,outside,Room Description,
NORTH,0,North Discription
SOUTH,316,South Descripton
EAST,117,East Description
WEST,115,West Description
117,outside,Room Description,
NORTH,0,North Discription
SOUTH,317,South Descripton
EAST,118,East Description
WEST,116,West Description
118,outside,Room Description,
NORTH,0,North Discription
SOUTH,318,South Descripton
EAST,119,East Description
WEST,117,West Description
119,outside,Room Description,
NORTH,0,North Discription
SOUTH,319,South Descripton
EAST,120,East Description
WEST,118,West Description
120,outside,Room Description,
NORTH,0,North Discription
SOUTH,320,South Descripton
EAST,121,East Description
WEST,119,West Description
121,outside,Room Description,
NORTH,0,North Discription
SOUTH,321,South Descripton
EAST,122,East Description
WEST,120,West Description
122,outside,Room Description,
NORTH,0,North Discription
SOUTH,322,South Descripton
EAST,123,East Description
WEST,121,West Description
123,outside,Room Description,
NORTH,0,North Discription
SOUTH,323,South Descripton
EAST,124,East Description
WEST,122,West Description
124,outside,Room Description,
NORTH,0,North Discription
SOUTH,324,South Descripton
EAST,125,East Description
WEST,123,West Description
125,outside,Room Description,
NORTH,0,North Discription
SOUTH,325,South Descripton
EAST,126,East Description
WEST,124,West Description
126,outside,Room Description,
NORTH,0,North Discription
SOUTH,326,South Descripton
EAST,127,East Description
WEST,125,West Description
127,outside,Room Description,
NORTH,0,North Discription
SOUTH,327,South Descripton
EAST,128,East Description
WEST,126,West Description
128,outside,Room Description,
NORTH,0,North Discription
SOUTH,328,South Descripton
EAST,129,East Description
WEST,127,West Description
129,outside,Room Description,
NORTH,0,North Discription
SOUTH,329,South Descripton
EAST,130,East Description
WEST,128,West Description
130,outside,Room Description,
NORTH,0,North Discription
SOUTH,330,South Descripton
EAST,131,East Description
WEST,129,West Description
131,outside,Room Description,
NORTH,0,North Discription
SOUTH,331,South Descripton
EAST,132,East Description
WEST,130,West Description
132,outside,Room Description,
NORTH,0,North Discription
SOUTH,332,South Descripton
EAST,133,East Description
WEST,131,West Description
133,outside,Room Description,
NORTH,0,North Discription
SOUTH,333,South Descripton
EAST,134,East Description
WEST,132,West Description
134,outside,Room Description,
NORTH,0,North Discription
SOUTH,334,South Descripton
EAST,135,East Description
WEST,133,West Description
135,outside,Room Description,
NORTH,0,North Discription
SOUTH,335,South Descripton
EAST,136,East Description
WEST,134,West Description
136,outside,Room Description,
NORTH,0,North Discription
SOUTH,336,South Descripton
EAST,137,East Description
WEST,135,West Description
137,outside,Room Description,
NORTH,0,North Discription
SOUTH,337,South Descripton
EAST,138,East Description
WEST,136,West Description
138,outside,Room Description,
NORTH,0,North Discription
SOUTH,338,South Descripton
EAST,139,East Description
WEST,137,West Description
139,outside,Room Description,
NORTH,0,North Discription
SOUTH,339,South Descripton
EAST,140,East Description
WEST,138,West Description
140,outside,Room Description,
NORTH,0,North Discription
SOUTH,340,South Descripton
EAST,141,East Description
WEST,139,West Description
141,outside,Room Description,
NORTH,0,North Discription
SOUTH,341,South Descripton
EAST,142,East Description
WEST,140,West Description
142,outside,Room Description,
NORTH,0,North Discription
SOUTH,342,South Descripton
EAST,143,East Description
WEST,141,West Description
143,outside,Room Description,
NORTH,0,North Discription
SOUTH,343,South Descripton
EAST,144,East Description
WEST,142,West Description
144,outside,Room Description,
NORTH,0,North Discription
SOUTH,344,South Descripton
EAST,145,East Description
WEST,143,West Description
145,outside,Room Description,
NORTH,0,North Discription
SOUTH,345,South Descripton
EAST,146,East Description
WEST,144,West Description
146,outside,Room Description,
NORTH,0,North Discription
SOUTH,346,South Descripton
EAST,147,East Description
WEST,145,West Description
147,outside,Room Description,
NORTH,0,North Discription
SOUTH,347,South Descripton
EAST,148,East Description
WEST,146,West Description
148,outside,Room Description,
NORTH,0,North Discription
SOUTH,348,South Descripton
EAST,149,East Description
WEST,147,West Description
149,outside,Room Description,
NORTH,0,North Discription
SOUTH,349,South Descripton
EAST,150,East Description
WEST,148,West Description
150,outside,Room Description,
NORTH,0,North Discription
SOUTH,350,South Descripton
EAST,151,East Description
WEST,149,West Description
151,outside,Room Description,
NORTH,0,North Discription
SOUTH,351,South Descripton
EAST,152,East Description
WEST,150,West Description
152,outside,Room Description,
NORTH,0,North Discription
SOUTH,352,South Descripton
EAST,153,East Description
WEST,151,West Description
153,outside,Room Description,
NORTH,0,North Discription
SOUTH,353,South Descripton
EAST,154,East Description
WEST,152,West Description
154,outside,Room Description,
NORTH,0,North Discription
SOUTH,354,South Descripton
EAST,155,East Description
WEST,153,West Description
155,outside,Room Description,
NORTH,0,North Discription
SOUTH,355,South Descripton
EAST,156,East Description
WEST,154,West Description
156,outside,Room Description,
NORTH,0,North Discription
SOUTH,356,South Descripton
EAST,157,East Description
WEST,155,West Description
157,outside,Room Description,
NORTH,0,North Discription
SOUTH,357,South Descripton
EAST,158,East Description
WEST,156,West Description
158,outside,Room Description,
NORTH,0,North Discription
SOUTH,358,South Descripton
EAST,159,East Description
WEST,157,West Description
159,outside,Room Description,
NORTH,0,North Discription
SOUTH,359,South Descripton
EAST,160,East Description
WEST,158,West Description
160,outside,Room Description,
NORTH,0,North Discription
SOUTH,360,South Descripton
EAST,161,East Description
WEST,159,West Description
161,outside,Room Description,
NORTH,0,North Discription
SOUTH,361,South Descripton
EAST,162,East Description
WEST,160,West Description
162,outside,Room Description,
NORTH,0,North Discription
SOUTH,362,South Descripton
EAST,163,East Description
WEST,161,West Description
163,outside,Room Description,
NORTH,0,North Discription
SOUTH,363,South Descripton
EAST,164,East Description
WEST,162,West Description
164,outside,Room Description,
NORTH,0,North Discription
SOUTH,364,South Descripton
EAST,165,East Description
WEST,163,West Description
165,outside,Room Description,
NORTH,0,North Discription
SOUTH,365,South Descripton
EAST,166,East Description
WEST,164,West Description
166,outside,Room Description,
NORTH,0,North Discription
SOUTH,366,South Descripton
EAST,167,East Description
WEST,165,West Description
167,outside,Room Description,
NORTH,0,North Discription
SOUTH,367,South Descripton
EAST,168,East Description
WEST,166,West Description
168,outside,Room Description,
NORTH,0,North Discription
SOUTH,368,South Descripton
EAST,169,East Description
WEST,167,West Description
169,outside,Room Description,
NORTH,0,North Discription
SOUTH,369,South Descripton
EAST,170,East Description
WEST,168,West Description
170,outside,Room Description,
NORTH,0,North Discription
SOUTH,370,South Descripton
EAST,171,East Description
WEST,169,West Description
171,outside,Room Description,
NORTH,0,North Discription
SOUTH,371,South Descripton
EAST,172,East Description
WEST,170,West Description
172,outside,Room Description,
NORTH,0,North Discription
SOUTH,372,South Descripton
EAST,173,East Description
WEST,171,West Description
173,outside,Room Description,
NORTH,0,North Discription
SOUTH,373,South Descripton
EAST,174,East Description
WEST,172,West Description
174,outside,Room Description,
NORTH,0,North Discription
SOUTH,374,South Descripton
EAST,175,East Description
WEST,173,West Description
175,outside,Room Description,
NORTH,0,North Discription
SOUTH,375,South Descripton
EAST,176,East Description
WEST,174,West Description
176,outside,Room Description,
NORTH,0,North Discription
SOUTH,376,South Descripton
EAST,177,East Description
WEST,175,West Description
177,outside,Room Description,
NORTH,0,North Discription
SOUTH,377,South Descripton
EAST,178,East Description
WEST,176,West Description
178,outside,Room Description,
NORTH,0,North Discription
SOUTH,378,South Descripton
EAST,179,East Description
WEST,177,West Description
179,outside,Room Description,
NORTH,0,North Discription
SOUTH,379,South Descripton
EAST,180,East Description
WEST,178,West Description
180,outside,Room Description,
NORTH,0,North Discription
SOUTH,380,South Descripton
EAST,181,East Description
WEST,179,West Description
181,outside,Room Description,
NORTH,0,North Discription
SOUTH,381,South Descripton
EAST,182,East Description
WEST,180,West Description
182,outside,Room Description,
NORTH,0,North Discription
SOUTH,382,South Descripton
EAST,183,East Description
WEST,181,West Description
183,outside,Room Description,
NORTH,0,North Discription
SOUTH,383,South Descripton
EAST,184,East Description
WEST,182,West Description
184,outside,Room Description,
NORTH,0,North Discription
SOUTH,384,South Descripton
EAST,185,East Description
WEST,183,West Description
185,outside,Room Description,
NORTH,0,North Discription
SOUTH,385,South Descripton
EAST,186,East Description
WEST,184,West Description
186,outside,Room Description,
NORTH,0,North Discription
SOUTH,386,South Descripton
EAST,187,East Description
WEST,185,West Description
187,outside,Room Description,
NORTH,0,North Discription
SOUTH,387,South Descripton
EAST,188,East Description
WEST,186,West Description
188,outside,Room Description,
NORTH,0,North Discription
SOUTH,388,South Descripton
EAST,189,East Description
WEST,187,West Description
189,outside,Room Description,
NORTH,0,North Discription
SOUTH,389,South Descripton
EAST,190,East Description
WEST,188,West Description
190,outside,Room Description,
NORTH,0,North Discription
SOUTH,390,South Descripton
EAST,191,East Description
WEST,189,West Description
191,outside,Room Description,
NORTH,0,North Discription
SOUTH,391,South Descripton
EAST,192,East Description
WEST,190,West Description
192,outside,Room Description,
NORTH,0,North Discription
SOUTH,392,South Descripton
EAST,193,East Description
WEST,191,West Description
193,outside,Room Description,
NORTH,0,North Discription
SOUTH,393,South Descripton
EAST,194,East Description
WEST,192,West Description
194,outside,Room Description,
NORTH,0,North Discription
SOUTH,394,South Descripton
EAST,195,East Description
WEST,193,West Description
195,outside,Room Description,
NORTH,0,North Discription
SOUTH,395,South Descripton
EAST,196,East Description
WEST,194,West Description
196,outside,Room Description,
NORTH,0,North Discription
SOUTH,396,South Descripton
EAST,197,East Description
WEST,195,West Description
197,outside,Room Description,
NORTH,0,North Discription
SOUTH,397,South Descripton
EAST,198,East Description
WEST,196,West Description
198,outside,Room Description,
NORTH,0,North Discription
SOUTH,398,South Descripton
EAST,199,East Description
WEST,197,West Description
199,outside,Room Description,
NORTH,0,North Discription
SOUTH,399,South Descripton
EAST,200,East Description
WEST,198,West Description
200,outside,Room Description,
NORTH,0,North Discription
SOUTH,400,South Descripton
EAST,0,East Description
WEST,199,West Description
201,outside,Room Description,
NORTH,201,North Discription
SOUTH,401,South Descripton
EAST,202,East Description
WEST,0,West Description
202,outside,Room Description,
NORTH,202,North Discription
SOUTH,402,South Descripton
EAST,203,East Description
WEST,201,West Description
203,outside,Room Description,
NORTH,203,North Discription
SOUTH,403,South Descripton
EAST,204,East Description
WEST,202,West Description
204,outside,Room Description,
NORTH,204,North Discription
SOUTH,404,South Descripton
EAST,205,East Description
WEST,203,West Description
205,outside,Room Description,
NORTH,205,North Discription
SOUTH,405,South Descripton
EAST,206,East Description
WEST,204,West Description
206,outside,Room Description,
NORTH,206,North Discription
SOUTH,406,South Descripton
EAST,207,East Description
WEST,205,West Description
207,outside,Room Description,
NORTH,207,North Discription
SOUTH,407,South Descripton
EAST,208,East Description
WEST,206,West Description
208,outside,Room Description,
NORTH,208,North Discription
SOUTH,408,South Descripton
EAST,209,East Description
WEST,207,West Description
209,outside,Room Description,
NORTH,209,North Discription
SOUTH,409,South Descripton
EAST,210,East Description
WEST,208,West Description
210,outside,Room Description,
NORTH,210,North Discription
SOUTH,410,South Descripton
EAST,211,East Description
WEST,209,West Description
211,outside,Room Description,
NORTH,211,North Discription
SOUTH,411,South Descripton
EAST,212,East Description
WEST,210,West Description
212,outside,Room Description,
NORTH,212,North Discription
SOUTH,412,South Descripton
EAST,213,East Description
WEST,211,West Description
213,outside,Room Description,
NORTH,213,North Discription
SOUTH,413,South Descripton
EAST,214,East Description
WEST,212,West Description
214,outside,Room Description,
NORTH,214,North Discription
SOUTH,414,South Descripton
EAST,215,East Description
WEST,213,West Description
215,outside,Room Description,
NORTH,215,North Discription
SOUTH,415,South Descripton
EAST,216,East Description
WEST,214,West Description
216,outside,Room Description,
NORTH,216,North Discription
SOUTH,416,South Descripton
EAST,217,East Description
WEST,215,West Description
217,outside,Room Description,
NORTH,217,North Discription
SOUTH,417,South Descripton
EAST,218,East Description
WEST,216,West Description
218,outside,Room Description,
NORTH,218,North Discription
SOUTH,418,South Descripton
EAST,219,East Description
WEST,217,West Description
219,outside,Room Description,
NORTH,219,North Discription
SOUTH,419,South Descripton
EAST,220,East Description
WEST,218,West Description
220,outside,Room Description,
NORTH,220,North Discription
SOUTH,420,South Descripton
EAST,221,East Description
WEST,219,West Description
221,outside,Room Description,
NORTH,221,North Discription
SOUTH,421,South Descripton
EAST,222,East Description
WEST,220,West Description
222,outside,Room Description,
NORTH,222,North Discription
SOUTH,422,South Descripton
EAST,223,East Description
WEST,221,West Description
223,outside,Room Description,
NORTH,223,North Discription
SOUTH,423,South Descripton
EAST,224,East Description
WEST,222,West Description
224,outside,Room Description,
NORTH,224,North Discription
SOUTH,424,South Descripton
EAST,225,East Description
WEST,223,West Description
225,outside,Room Description,
NORTH,225,North Discription
SOUTH,425,South Descripton
EAST,226,East Description
WEST,224,West Description
226,outside,Room Description,
NORTH,226,North Discription
SOUTH,426,South Descripton
EAST,227,East Description
WEST,225,West Description
227,outside,Room Description,
NORTH,227,North Discription
SOUTH,427,South Descripton
EAST,228,East Description
WEST,226,West Description
228,outside,Room Description,
NORTH,228,North Discription
SOUTH,428,South Descripton
EAST,229,East Description
WEST,227,West Description
229,outside,Room Description,
NORTH,229,North Discription
SOUTH,429,South Descripton
EAST,230,East Description
WEST,228,West Description
230,outside,Room Description,
NORTH,230,North Discription
SOUTH,430,South Descripton
EAST,231,East Description
WEST,229,West Description
231,outside,Room Description,
NORTH,231,North Discription
SOUTH,431,South Descripton
EAST,232,East Description
WEST,230,West Description
232,outside,Room Description,
NORTH,232,North Discription
SOUTH,432,South Descripton
EAST,233,East Description
WEST,231,West Description
233,outside,Room Description,
NORTH,233,North Discription
SOUTH,433,South Descripton
EAST,234,East Description
WEST,232,West Description
234,outside,Room Description,
NORTH,234,North Discription
SOUTH,434,South Descripton
EAST,235,East Description
WEST,233,West Description
235,outside,Room Description,
NORTH,235,North Discription
SOUTH,435,South Descripton
EAST,236,East Description
WEST,234,West Description
236,outside,Room Description,
NORTH,236,North Discription
SOUTH,436,South Descripton
EAST,237,East Description
WEST,235,West Description
237,outside,Room Description,
NORTH,237,North Discription
SOUTH,437,South Descripton
EAST,238,East Description
WEST,236,West Description
238,outside,Room Description,
NORTH,238,North Discription
SOUTH,438,South Descripton
EAST,239,East Description
WEST,237,West Description
239,outside,Room Description,
NORTH,239,North Discription
SOUTH,439,South Descripton
EAST,240,East Description
WEST,238,West Description
240,outside,Room Description,
NORTH,240,North Discription
SOUTH,440,South Descripton
EAST,241,East Description
WEST,239,West Description
241,outside,Room Description,
NORTH,241,North Discription
SOUTH,441,South Descripton
EAST,242,East Description
WEST,240,West Description
242,outside,Room Description,
NORTH,242,North Discription
SOUTH,442,South Descripton
EAST,243,East Description
WEST,241,West Description
243,outside,Room Description,
NORTH,243,North Discription
SOUTH,443,South Descripton
EAST,244,East Description
WEST,242,West Description
244,outside,Room Description,
NORTH,244,North Discription
SOUTH,444,South Descripton
EAST,245,East Description
WEST,243,West Description
245,outside,Room Description,
NORTH,245,North Discription
SOUTH,445,South Descripton
EAST,246,East Description
WEST,244,West Description
246,outside,Room Description,
